D‚formation,Contrainte (MPa)
2.75153E-05,131.059802
0.000157131,136.2834146
0.000285782,141.3466747
0.000418653,145.8958587
0.000549468,149.7160844
0.000681789,153.5442063
0.000811064,156.7346639
0.000940346,159.6211795
0.001076698,162.6324275
0.001203293,164.9879723
0.001335762,167.0882151
0.001473561,169.5076325
0.00159203,171.2684594
0.001730957,173.0861938
0.001860622,175.0193467
0.00199378,176.4640326
0.002121907,178.0343632
0.002257965,179.6255865
0.002381965,180.7620922
0.002516351,182.09503
0.002647216,183.438294
0.002778014,184.3194831
0.002909138,185.5665929
0.003038479,186.5642256
0.00317236,187.2902295
0.003300374,188.4847848
0.003433701,189.1753126
0.003562231,189.9738535
0.003689206,190.9827729
0.003828149,191.6484432
0.003953106,192.1946675
0.004085597,193.0527278
0.004220259,193.5182602
0.004340874,194.3502207
0.0044775,194.892188
0.004610262,195.374377
0.004732469,196.1173925
0.004869479,196.5229023
0.004828599,189.8561864
0.004695587,181.1377672
0.00456388,171.735852
0.004430416,163.081439
0.004295817,154.3674084
0.00416498,145.2715376
0.00403164,136.5103433
0.003904607,127.8590703
0.003766895,118.8170003
0.003635423,110.3727466
0.003501904,101.5997353
0.003375885,92.69014339
0.003240091,84.34639917
0.003105259,75.67347975
0.002979814,66.94843179
0.002847677,58.61987225
0.00271286,49.82740251
0.002576142,41.28616361
0.002460064,32.93923965
0.002308566,24.26136167
0.002191455,15.94866366
0.002062789,7.758774217
0.001925696,-0.984356594
0.001797467,-8.941660965
0.001667074,-17.30674494
0.001531184,-25.71181201
0.001400938,-33.59712655
0.001275333,-41.82042896
0.001137351,-50.02377186
0.001012534,-57.83789193
0.000879812,-66.10251218
0.00074659,-73.9436611
0.000617121,-81.73139538
0.000498944,-89.6465594
0.000355847,-97.01325675
0.000227995,-104.3861278
9.57415E-05,-111.5276502
-3.45619E-05,-117.7082082
-0.000158414,-123.6828952
-0.000290683,-129.1486546
-0.000426448,-133.9067661
-0.000560185,-138.3853068
-0.000690587,-142.418262
-0.000820433,-145.8606101
-0.000948753,-149.3121091
-0.001072647,-152.0640109
-0.001220534,-154.6844472
-0.001345995,-157.4407187
-0.001475759,-159.6353224
-0.001606868,-161.6982121
-0.001738854,-163.927296
-0.00186321,-165.4008041
-0.002004331,-167.2817283
-0.002135658,-168.9424383
-0.002260381,-170.2385637
-0.002394544,-171.833735
-0.002528741,-173.2281004
-0.002647098,-174.2398092
-0.002789078,-175.6816744
-0.002918593,-176.6655067
-0.003046378,-177.6702025
-0.003179512,-178.8268181
-0.003306404,-179.6107609
-0.003432423,-180.4644806
-0.003571733,-181.4681471
-0.003701551,-182.0561778
-0.003835375,-182.9035046
-0.003963697,-183.7612684
-0.004097467,-184.2605838
-0.00421634,-185.0846502
-0.004359154,-185.7957472
-0.004485468,-186.187847
-0.004617331,-187.0633259
-0.00474209,-187.5322531
-0.004875279,-187.9264094
-0.004815232,-180.8835111
-0.004688238,-172.0653028
-0.00455588,-163.0097518
-0.004423789,-154.3536915
-0.004289911,-145.196702
-0.004160953,-136.401303
-0.004018432,-127.5981979
-0.00389208,-118.6012623
-0.003761874,-109.913248
-0.003624099,-101.077953
-0.003497993,-92.044846
-0.003362621,-83.5671706
-0.003228457,-74.539185
-0.003102913,-65.71705786
-0.002974407,-57.30074123
-0.002827698,-48.31335943
-0.002702271,-39.59502588
-0.002577402,-31.19330098
-0.002435183,-22.14781532
-0.002312226,-13.88517244
-0.002180181,-5.45846079
-0.002047616,3.132545334
-0.001917947,11.18929884
-0.001790072,19.64829165
-0.001654036,28.17510062
